<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20210318,110000,229.3000000
GAZP,60,20210318,120000,227.5800000
GAZP,60,20210318,130000,226.0500000
GAZP,60,20210318,140000,225.6600000
GAZP,60,20210318,150000,227.0800000
GAZP,60,20210318,160000,227.8300000
GAZP,60,20210318,170000,227.9900000
GAZP,60,20210318,180000,227.8800000
GAZP,60,20210318,190000,227.5500000
GAZP,60,20210318,200000,226.5700000
GAZP,60,20210318,210000,226.8600000
GAZP,60,20210318,220000,225.4700000
GAZP,60,20210318,230000,224.2100000
GAZP,60,20210319,000000,224.3500000
